URL,mathematics,physicalscience,English,history,medicalscience,religion
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=020&aid=0003086145&date=20170810&type=1&rankingSectionId=000&rankingSeq=27,7118.9,9586.6,8365.1,9444.3,10727.1,8382.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=421&aid=0002883866&date=20170810&type=1&rankingSectionId=000&rankingSeq=28,4840.6,7663.6,7626.2,8894.4,9142,8158.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009465297&date=20170810&type=1&rankingSectionId=000&rankingSeq=29,4396.8,5365.4,5779.8,6211.5,7386.1,6975.9
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=003&aid=0008113688&date=20170810&type=1&rankingSectionId=000&rankingSeq=30,2734.8,3475.2,3086.6,4918.5,4294.3,4057.6
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=020&aid=0003086113&date=20170810&type=1&rankingSectionId=000&rankingSeq=31,5210.4,6629,6845.2,7329.4,6225.7,7461.8
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=277&aid=0004052150&date=20170810&type=1&rankingSectionId=000&rankingSeq=32,3935.7,5959.6,4988.4,7244.3,7434.4,6365.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=025&aid=0002743826&date=20170810&type=0&rankingSectionId=000&rankingSeq=33,4884.8,7684.4,7158,11662.5,8458.9,9538.7
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009465238&date=20170810&type=1&rankingSectionId=000&rankingSeq=34,4772.9,6558.6,6596.1,9664.1,6661.8,7640.6
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=018&aid=0003894561&date=20170810&type=1&rankingSectionId=000&rankingSeq=35,8190.1,9793.6,8733.2,9875.8,9686.5,9980.4
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=023&aid=0003303951&date=20170810&type=1&rankingSectionId=000&rankingSeq=36,7044.8,9894.1,10342.8,10877.7,10927,9840.3
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=421&aid=0002883903&date=20170810&type=1&rankingSectionId=000&rankingSeq=37,1983.2,4369,4592.3,5585.7,7812.1,5894.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009464976&date=20170810&type=1&rankingSectionId=000&rankingSeq=38,4403,5358.6,5832.8,5120.1,6739.4,5982.4
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=277&aid=0004052151&date=20170810&type=1&rankingSectionId=000&rankingSeq=39,4948.1,6306.5,4836.5,6487.5,6548.4,6138.3
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009465392&date=20170810&type=1&rankingSectionId=000&rankingSeq=40,3782.8,4914,5412.1,5830.4,4877.9,5871.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=079&aid=0002998920&date=20170810&type=1&rankingSectionId=000&rankingSeq=41,7963.5,9523.1,9049.1,9780.3,11106,10006.7
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009465488&date=20170810&type=1&rankingSectionId=000&rankingSeq=42,2652.4,4875.4,5309.9,5616.4,6924.7,5200
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=056&aid=0010491738&date=20170810&type=2&rankingSectionId=000&rankingSeq=43,9792.6,9648.9,10049.2,8665.4,11871.1,10384.6
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=469&aid=0000225130&date=20170810&type=1&rankingSectionId=000&rankingSeq=44,3982.2,5843.5,5038.3,6135.2,6238.5,6070.6
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=025&aid=0002743869&date=20170810&type=1&rankingSectionId=000&rankingSeq=45,3593.9,5071.6,5032.2,6864.2,5022.5,5549.5
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=056&aid=0010491772&date=20170810&type=2&rankingSectionId=000&rankingSeq=46,6850.6,7551.1,7276.7,8608.2,8203.8,7956.1
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=003&aid=0008113774&date=20170810&type=1&rankingSectionId=000&rankingSeq=47,7123.2,10433.6,8838.9,11113.6,10895,10546.9
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009465524&date=20170810&type=1&rankingSectionId=000&rankingSeq=48,6550.8,8397.8,7935.4,10007.3,8831.3,9730.4
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=421&aid=0002883937&date=20170810&type=1&rankingSectionId=000&rankingSeq=49,2539.1,4651.9,5495.6,6040.4,6750.8,6704.4
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=081&aid=0002844161&date=20170810&type=0&rankingSectionId=000&rankingSeq=50,6093,7684.3,7928.4,9016.1,8571.7,8285.1
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=277&aid=0004051671&date=20170809&type=1&rankingSectionId=000&rankingSeq=1,7205.9,9581.5,7611,7022.6,7390.6,7397.5
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=020&aid=0003085855&date=20170809&type=1&rankingSectionId=000&rankingSeq=2,3944.9,6097.8,5405.2,6496.1,6944.5,5805.4
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=421&aid=0002881965&date=20170809&type=1&rankingSectionId=000&rankingSeq=3,5048,6269,6423.8,10219.2,6847.1,8156.1
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=277&aid=0004051669&date=20170809&type=1&rankingSectionId=000&rankingSeq=5,7551,9041.6,8217.6,9045.2,9159.9,9095.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009463414&date=20170809&type=1&rankingSectionId=000&rankingSeq=6,6410,7716.1,7233.7,9912.5,7369.4,7786.8
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009463276&date=20170809&type=1&rankingSectionId=000&rankingSeq=7,6964.8,9193.9,8887.5,9938.4,8164.2,8635.8
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=014&aid=0003856381&date=20170809&type=1&rankingSectionId=000&rankingSeq=8,5372.4,7301.1,6484.4,6951.2,6540.9,7918.4
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=018&aid=0003893602&date=20170809&type=1&rankingSectionId=000&rankingSeq=9,5611.8,7717.7,6501.9,8405.3,8916.6,7815.4
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=005&aid=0001016456&date=20170809&type=1&rankingSectionId=000&rankingSeq=10,4778.7,7760.3,7690.3,8914.5,9114,8751.6
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=018&aid=0003894062&date=20170809&type=1&rankingSectionId=000&rankingSeq=11,4410.7,5983.9,5642,8061.9,8645,6520.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009462853&date=20170809&type=1&rankingSectionId=000&rankingSeq=12,5701.6,6371,7048.2,7843.9,6978.7,6798.3
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=421&aid=0002883014&date=20170809&type=1&rankingSectionId=000&rankingSeq=13,5537.1,7514.3,6723,9846.1,7045.4,8394.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=020&aid=0003085812&date=20170809&type=1&rankingSectionId=000&rankingSeq=14,5953.9,8534.6,9175.6,7877.1,9147.2,9384.7
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009464421&date=20170809&type=1&rankingSectionId=000&rankingSeq=15,5667.2,6473.5,6294.5,7113.8,9223.3,6864.4
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=028&aid=0002375215&date=20170809&type=1&rankingSectionId=000&rankingSeq=16,5602.1,9126.6,8233.1,9058.3,9487.6,9052
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=003&aid=0008111607&date=20170809&type=1&rankingSectionId=000&rankingSeq=17,3793.8,5977.2,4859.8,6398.4,5719.7,7480.5
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=023&aid=0003303683&date=20170809&type=1&rankingSectionId=000&rankingSeq=18,9128.6,10552.8,9896.4,11583.9,12559.6,11107.6
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=277&aid=0004051504&date=20170809&type=1&rankingSectionId=000&rankingSeq=19,5669.7,7173.6,8636.7,8092.8,8863.6,9257.3
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=030&aid=0002632078&date=20170809&type=1&rankingSectionId=000&rankingSeq=20,4954.4,8402.1,4569.7,7234.9,7749,7031.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009463190&date=20170809&type=1&rankingSectionId=000&rankingSeq=21,5720.8,7599.5,7809.5,10038.2,8244,9561.9
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009463221&date=20170809&type=1&rankingSectionId=000&rankingSeq=22,3554,5451.6,5086.3,6722.8,7689.6,7312.6
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=003&aid=0008111352&date=20170809&type=1&rankingSectionId=000&rankingSeq=23,6501.6,7759.4,7159.9,8728.3,9400.1,8817.1
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009462363&date=20170809&type=1&rankingSectionId=000&rankingSeq=24,6559,8907.5,8927.2,10702.2,9318.7,10571.8
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009463690&date=20170809&type=1&rankingSectionId=000&rankingSeq=25,7181.3,9038.1,9105.9,7447.3,8806.5,8247
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009462798&date=20170809&type=1&rankingSectionId=000&rankingSeq=26,4393.9,5421.3,4373.7,7598.9,5114.8,5787.8
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009463649&date=20170809&type=1&rankingSectionId=000&rankingSeq=27,5025.1,6437.7,7064.8,8509.2,7710,7593.9
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=020&aid=0003085830&date=20170809&type=1&rankingSectionId=000&rankingSeq=28,7073.7,10321.1,10503.5,10789.1,13403.7,9151.7
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009464470&date=20170809&type=1&rankingSectionId=000&rankingSeq=29,3961,4856.1,4991.8,7222.7,6488.3,7915.6
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=005&aid=0001016420&date=20170809&type=1&rankingSectionId=000&rankingSeq=30,6372.1,7474.8,7230.8,9942.2,6864.4,8308.5
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009462794&date=20170809&type=1&rankingSectionId=000&rankingSeq=31,4009.9,5946.9,4590.1,8346.3,5794.1,6882.3
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=006&aid=0000088103&date=20170809&type=1&rankingSectionId=000&rankingSeq=32,3570.2,4012.5,4105.9,5070.1,4815.9,5350.7
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=052&aid=0001044359&date=20170809&type=2&rankingSectionId=000&rankingSeq=33,7336.5,9135.4,7613,7238,8344,8250.5
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=079&aid=0002998378&date=20170809&type=1&rankingSectionId=000&rankingSeq=34,4578.7,5391.3,5818.7,6155.7,5942.9,6317.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=023&aid=0003303740&date=20170809&type=1&rankingSectionId=000&rankingSeq=35,3849.2,4919,4309.9,6489.1,6937.8,6767.8
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=003&aid=0008112113&date=20170809&type=1&rankingSectionId=000&rankingSeq=36,3448.6,5186.6,4099,6084.6,6817.3,5483.4
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009463933&date=20170809&type=1&rankingSectionId=000&rankingSeq=37,3846,5789.5,4733.9,6049.4,6333.7,6142.3
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=277&aid=0004051672&date=20170809&type=1&rankingSectionId=000&rankingSeq=38,7812.3,10385.7,8451,8268.2,8662.6,7800
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=003&aid=0008111468&date=20170809&type=1&rankingSectionId=000&rankingSeq=39,7286.2,8109,8048.2,10064.9,8238.2,8662.3
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=021&aid=0002323620&date=20170809&type=0&rankingSectionId=000&rankingSeq=40,8562,8730.4,10089.9,10290.1,10163.9,9713.3
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=421&aid=0002883033&date=20170809&type=1&rankingSectionId=000&rankingSeq=41,7269.2,9208.2,8906.6,10855.1,9178.4,10194.6
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=018&aid=0003894087&date=20170809&type=1&rankingSectionId=000&rankingSeq=42,4316.9,6567.3,5971.6,8049.7,7351.6,7503.9
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009464819&date=20170809&type=1&rankingSectionId=000&rankingSeq=43,4798.4,6718.1,6356,6679.1,6241.1,5891.8
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009464308&date=20170809&type=1&rankingSectionId=000&rankingSeq=44,9769.6,12154.3,13640.2,12573.1,12892,13748.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=003&aid=0008112120&date=20170809&type=1&rankingSectionId=000&rankingSeq=45,6349.4,7170,7932.8,9226.4,8918.9,8875.8
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009463252&date=20170809&type=1&rankingSectionId=000&rankingSeq=46,3409.6,5387.1,4768.3,7805.9,5765.1,6874.4
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009463790&date=20170809&type=1&rankingSectionId=000&rankingSeq=47,3659.7,4891.6,5482.3,5635.5,5671.3,5575.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=023&aid=0003303644&date=20170809&type=1&rankingSectionId=000&rankingSeq=48,4685.7,6377.1,5837.2,5970.5,7081.9,5771.7
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=277&aid=0004051528&date=20170809&type=1&rankingSectionId=000&rankingSeq=49,7058.7,8164.7,6796.4,9119.9,7129,7464.1
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=421&aid=0002883010&date=20170809&type=1&rankingSectionId=000&rankingSeq=50,4285.6,6737.9,6985,9103.3,7933.2,8396.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=023&aid=0003303431&date=20170808&type=1&rankingSectionId=000&rankingSeq=1,7256.1,10162.2,8901.6,9922.7,10398.1,8841.5
